Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp
Momo Paradise,Jepang,"Mal Kelapa Gading 5, Lantai Ground
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",200000,4.73,2025-06-03 22:21:20.290293
Fukumaru,Jepang,"Jl. Raya Pegangsaan Dua No. 23C, Kelapa Gading, Jakarta Utara",75000,4.47,2025-06-03 22:21:20.452307
Isshin,Jepang,"Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.5,2025-06-03 22:21:20.593645
Caspar - The Orient Hotel,Spanyol,"The Orient Hotel, Lantai Ground
Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",200000,4.51,2025-06-03 22:21:20.702030
Waroeng Aceh Kemang,Indonesia,"Jl. Raya Pasar Minggu No. 11, Pasar Minggu, Jakarta Selatan",50000,4.31,2025-06-03 22:21:20.950817
Furusato Izakaya - The Orient Hotel,Jepang,"The Orient Hotel, Lantai Ground
Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",200000,4.43,2025-06-03 22:21:21.211578
Kohicha Cafe,Kafe,"Ruko Gading Kirana, Blok A6A No. 21
Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta Utara",75000,4.35,2025-06-03 22:21:21.381910
Haidilao Hot Pot,China,"Gandaria City, Lantai Ground, Mainstreet Dining
Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",200000,4.47,2025-06-03 22:21:21.512634
Momo Paradise,Jepang,"Plaza Indonesia, Lantai 5
Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,4.48,2025-06-03 22:21:21.720611
Osteria Gia,Italia,"Pacific Place Mall, Lantai Ground, East Lobby
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.36,2025-06-03 22:21:21.901976
Yakitori Chidori - Artotel Suites Mangkuluhur,Jepang,"Artotel Suites Mangkuluhur
Jl. Gatot Subroto Kav. 2 - 3, Gatot Subroto, Jakarta Selatan",150000,4.76,2025-06-03 22:21:22.136163
Leisola by Aljazeerah,"Indonesia,Barat","Al-Jazeerah, Lantai 3
Jl. Raden Saleh No. 62, Cikini, Menteng, Jakarta Pusat",150000,4.46,2025-06-03 22:21:22.396809
The Social Pot,"Jepang,Thailand","Lotte Mall Jakarta, Lantai 3
Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",150000,4.42,2025-06-03 22:21:26.325579
Hang Tuah Kopi & Toastery,Kafe,"Jl. Pecenongan No. 37, Pecenongan, Jakarta Pusat",75000,4.53,2025-06-03 22:21:26.461067
May Star Signature - Sari Pacific Hotel,China,"Sari Pacific Hotel, Autograph Collection
Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,4.93,2025-06-03 22:21:26.693910
The Social Pot,"Jepang,Thailand","Pondok Indah Mall 1, Lantai 2
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.38,2025-06-03 22:21:26.955470
Tomoro Coffee,Kafe,"Jl. H. Agus Salim No. 62, Menteng, Jakarta Pusat",50000,4.48,2025-06-03 22:21:27.168394
Kenjiro,Jepang,"Jl. Adityawarman No. 63, Melawai, Kebayoran Baru, Jakarta Selatan",150000,4.34,2025-06-03 22:21:27.267988
The Neighbourhood,Barat,"Jl. Cipaku I No. 85, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.32,2025-06-03 22:21:27.361441
Aoki Japanese Cuisine - Hotel Gran Mahakam,Jepang,"Hotel Gran Mahakam, Lantai Lower Lobby
Jl. Mahakam I No. 8, Blok M, Kebayoran Baru, Jakarta Selatan",200000,4.32,2025-06-03 22:21:27.490449
Haidilao Hot Pot,China,"PIK Avenue, Lantai 3
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",200000,4.55,2025-06-03 22:21:27.647185
Tucano's Churrascaria Brazilian BBQ & Buffet,Brasil,"Apartemen Pavilion Sudirman, Lantai Ground
Jl. KH Mas Mansyur, Tanah Abang, Jakarta Pusat",200000,4.34,2025-06-03 22:21:27.722265
